date,used slots,sys slots
2012-08-27 07:51:00,0,2880
2012-08-27 08:51:00,0,2880
2012-08-27 09:51:00,0,2880
2012-08-27 10:51:00,0,2880
2012-08-27 11:51:00,0,2880
2012-08-27 12:51:00,0,2880
2012-08-27 13:51:00,0,2880
2012-08-27 14:51:00,12,2880
2012-08-27 15:51:00,0,2880
2012-08-27 16:51:00,0,2880
2012-08-27 17:51:00,6,2880
2012-08-27 18:51:00,28,2880
2012-08-27 19:51:00,0,2880
2012-08-27 20:51:00,0,2880
2012-08-27 21:51:00,0,2880
2012-08-27 22:51:00,0,2880
2012-08-27 23:51:00,0,2880
2012-08-28 00:51:00,0,2880
2012-08-28 01:51:00,0,2880
2012-08-28 02:51:00,0,2880
2012-08-28 03:51:00,0,2880
2012-08-28 04:51:00,0,2880
2012-08-28 05:51:00,0,2880
2012-08-28 06:51:00,0,2880
2012-08-28 07:51:00,0,2880
2012-08-28 08:51:00,0,2880
2012-08-28 09:51:00,157,2880
2012-08-28 10:51:00,182,2880
2012-08-28 11:51:00,182,2880
2012-08-28 12:51:00,182,2880
2012-08-28 13:51:00,88,2880
2012-08-28 14:51:00,6,2880
2012-08-28 15:51:00,33,2880
2012-08-28 16:51:00,1150,2880
2012-08-28 17:51:00,1900,2880
2012-08-28 18:51:00,1808,2880
2012-08-28 19:51:00,1810,2880
2012-08-28 20:51:00,1805,2880
2012-08-28 21:51:00,1800,2880
2012-08-28 22:51:00,1800,2880
2012-08-28 23:51:00,1800,2880
2012-08-29 00:51:00,1800,2880
2012-08-29 01:51:00,1800,2880
2012-08-29 02:51:00,1800,2880
2012-08-29 03:51:00,1800,2880
2012-08-29 04:51:00,1800,2880
2012-08-29 05:51:00,1800,2880
2012-08-29 06:51:00,1800,2880
2012-08-29 07:51:00,1800,2880
2012-08-29 08:51:00,1800,2880
2012-08-29 09:51:00,1100,2880
2012-08-29 10:51:00,600,2880
2012-08-29 11:51:00,639,2880
2012-08-29 12:51:00,615,2880
2012-08-29 13:51:00,630,2880
2012-08-29 14:51:00,600,2880
2012-08-29 15:51:00,600,2880
2012-08-29 16:51:00,612,2880
